Bảng,Đội,Trận,Thắng,Hòa,Thua,Bàn thắng,Bàn thua,Hiệu số,Điểm
Bảng A,24DTH1D,2,1,0,1,4,3,1,3
Bảng A,24DTH2A_1D,1,1,0,0,2,1,1,3
Bảng A,22DKTPM1B,1,0,0,1,1,3,-2,0
Bảng B,22DTH1D,2,2,0,0,10,5,5,6
Bảng B,22DKTPM1D,1,0,0,1,0,2,-2,0
Bảng B,22DTH3B_2D + 23DTH1A,1,0,0,1,5,8,-3,0
Bảng C,23DTH2D,2,2,0,0,7,1,6,6
Bảng C,22DTH1A,2,2,0,0,7,4,3,6
Bảng C,24DKTPM1A,2,0,0,2,4,8,-4,0
Bảng C,24DTH1A + 23DKTPM1A,2,0,0,2,1,6,-5,0
Bảng D,22DTH2C,2,1,1,0,14,8,6,4
Bảng D,21DTH2C + 20DTH2A,2,1,1,0,14,9,5,4
Bảng D,23DTH1B,2,1,0,1,4,6,-2,3
Bảng D,22DKTPM1A + 24DTH2B,2,0,0,2,0,9,-9,0
